"country_code"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
516	"Namibia"	0	0	0	-0.87	-2.825	-44.585	-29.139	74.791	23.492	35.497	-50	-50	-1.371	-2.236	-2.236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
710	"South Africa"	7.46	14.92	106.55	198.515	226.6	73.316	180.998	-129.05	739.5	313.5	596	627.5	806.5	300	200	100	100	100	100	100	95.001	90.003	84.998	80.001	75.001	70.002	65.002	60	55.001	50.006
748	"Swaziland"	-2.755	-1.979	-9.908	-9.472	-7.872	-9.472	-14.496	17.149	-38.243	-12	-46.077	-6	-6	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	-9.999	-9.5	-9.001	-8.501	-8.001	-7.505	-6.999	-6.5	-6	-5.501	-5.001
914	"Western Africa"	-25.261	31.154	-110.451	-270.012	-402.166	-415.942	-695.243	-854.665	-191.842	-440.174	-706.773	-920.875	-1183.962	-944.377	-927.308	-930.849	-929.682	-928.801	-928.153	-927.658	-881.276	-834.905	-788.526	-742.129	-695.748	-649.357	-602.991	-556.588	-510.222	-463.857
204	"Benin"	-23.001	-23.001	-24.295	-23.742	-24.845	-19.393	-10.848	-8.723	68.259	-2.851	25.005	-48.776	-42.268	-10	-10	-10	-10	-10	-10	-9.999	-9.501	-8.998	-8.498	-7.998	-7.498	-7	-6.5	-6	-5.498	-4.997
854	"Burkina Faso"	-102.159	-102.159	-144.723	-144.723	-170.263	-217.4	-217.4	-183.699	-150.001	-137.499	-125	-125	-125	-125	-125	-125	-125	-125	-125	-125	-118.748	-112.5	-106.253	-100.002	-93.748	-87.499	-81.249	-74.997	-68.753	-62.501
132	"Cabo Verde"	-5.926	-22.773	-1.167	4.267	-34.907	-27.982	-20.313	-27.757	-6.376	-5.438	-9.859	-17.623	-11.052	-7.392	-6.218	-4.662	-3.498	-2.624	-1.967	-1.476	-1.403	-1.329	-1.258	-1.18	-1.103	-1.032	-0.962	-0.885	-0.813	-0.742
384	"Cote d'Ivoire"	69.38	99.919	200	200	400	420	430	325	375	180	-370	-220	60	30	30	30	30	30	30	30	28.5	27	25.5	24	22.5	21	19.5	18	16.5	15
270	"Gambia"	16.913	36.375	-3.232	0.118	9.392	-3.38	19.475	48.392	-14.801	-26.418	-13.742	-13.742	-13.476	-13	-13	-13	-13	-13	-13	-13	-12.349	-11.701	-11.049	-10.4	-9.749	-9.101	-8.449	-7.8	-7.149	-6.501
288	"Ghana"	72.001	142.002	0	-361.999	-164.002	-563.999	206.001	-30.003	-16.285	-112.636	165.518	189.259	-49.999	-100	-100	-100	-100	-100	-100	-100	-95.001	-90.004	-85.002	-80	-74.999	-69.999	-64.999	-59.999	-55.002	-50.007
324	"Guinea"	-0.007	-9.929	-13.857	-13.857	-275	-353	-38	162.45	800	-246.148	-368.004	-300	-250	-50	-20	-20	-20	-20	-20	-20	-19	-18	-17	-16	-15	-14	-13	-12	-11	-10
624	"Guinea-Bissau"	-10.001	-9.982	-20.001	-7.23	-14.999	-79.367	-30.001	-28.004	-29.999	-58.803	-39.899	-25.002	-10.003	-9.995	-9.998	-9.995	-9.992	-9.991	-9.998	-9.993	-9.493	-8.997	-8.492	-7.994	-7.497	-6.997	-6.498	-5.994	-5.498	-5.002
430	"Liberia"	-0.013	7.983	7.996	7.996	10.996	11.949	0	-400	-300	450	-50	175.585	-20	-25	-25	-25	-25	-25	-25	-25	-23.75	-22.5	-21.25	-20	-18.75	-17.5	-16.25	-15	-13.75	-12.5
466	"Mali"	-35.031	-49.07	-70.243	-98.235	-95.585	-174.998	-218.064	-480.652	-173.489	-141.95	-67.11	-100.823	-302.449	-200	-200	-200	-200	-200	-200	-200	-190	-180	-169.998	-159.997	-150	-139.997	-130.001	-119.998	-110.002	-100
478	"Mauritania"	-1.3	-1.6	-1.82	-2.76	-5.95	-9.7	-16.1	-30.3	-29.997	13	7.004	10.005	40	25.502	20.397	15.305	15.305	15.305	15.305	15.305	14.536	13.772	13	12.243	11.474	10.709	9.941	9.183	8.416	7.646
562	"Niger"	5.001	-25.124	-11.545	-11.545	-13.763	-18.138	-92.946	-91.917	-2.679	24.056	-28.497	-28.497	-28.497	-28.497	-28.497	-28.497	-28.497	-28.497	-28.497	-28.497	-27.07	-25.65	-24.224	-22.799	-21.374	-19.946	-18.525	-17.097	-15.674	-14.248
566	"Nigeria"	3.368	2.706	1.021	-43.347	-38.526	854.649	-671.64	-91.407	-95.769	-95.027	-170	-300	-300	-300	-300	-300	-300	-300	-300	-300	-285.001	-270	-255.001	-240	-225.001	-210	-195.001	-180	-165.001	-150
686	"Senegal"	33.033	44.046	50.002	86.522	65.586	-134.783	-85.108	-60.291	-70.008	-209.864	-151.131	-166.051	-99.996	-99.996	-99.996	-99.996	-99.996	-99.996	-99.996	-99.996	-94.998	-89.998	-84.999	-80.003	-75.003	-69.995	-64.998	-59.998	-54.999	-50.001
694	"Sierra Leone"	0	0	0	0	0	0	0	62.745	-450	-150	500	60	-21	-21	-30	-30	-30	-30	-30	-30	-28.5	-27	-25.5	-24	-22.5	-21	-19.5	-18	-16.5	-15
768	"Togo"	-46.919	-57.336	-77.885	138.923	-49.999	-100	50.001	-20	-95	80	-9.999	-9.999	-9.994	-9.999	-9.996	-10.004	-10.004	-9.998	-10	-10.002	-9.498	-9	-8.502	-7.999	-7.5	-7	-6.5	-6.003	-5.499	-5.004
935	"ASIA"	96.498	1382.543	-248.794	597.809	-1491.451	-1336.585	-537.06	-2019.027	-7178.794	-6079.494	-7650.325	-10274.983	-5484.529	-7763.258	-7193.75	-7819.238	-7782.526	-7817.56	-7819.486	-7817.445	-7426.757	-7035.899	-6645.043	-6254.161	-5863.319	-5472.429	-5081.492	-4690.582	-4299.699	-3908.728
906	"Eastern Asia"	-751.455	384.972	-986.016	1185.482	-525.794	179.274	66.951	-223.032	-694.434	-265.226	-1500.7	-1927.401	-925.451	-878.21	-959.22	-895.341	-900.695	-900.727	-897.653	-895.605	-851.023	-806.24	-761.469	-716.702	-671.946	-627.138	-582.3	-537.486	-492.702	-447.787
156	"China"	-220.848	-59.536	-1131.18	-160.289	-1081.485	-47.19	-200.84	-420.046	-764.123	-383.389	-2030.083	-2390.895	-1698.448	-1624.595	-1619.629	-1595.184	-1600.538	-1600.57	-1597.496	-1595.448	-1515.876	-1436.108	-1356.339	-1276.578	-1196.834	-1117.031	-1037.204	-957.4	-877.619	-797.737
344	"China, Hong Kong SAR"	165.179	162.996	-27.385	71.59	73.97	406.637	160.605	221.262	156.486	375.683	64.797	89.747	74.892	146.542	90.564	150	150	150	150	150	142.5	135	127.498	119.998	112.496	105	97.5	90.002	82.498	75
446	"China, Macao SAR"	-32.375	-43.779	19.062	33.602	-10.972	-10.034	25.146	33.466	21.845	27.867	46.284	42.381	42.35	25	25	25	25	25	25	25	23.754	22.506	21.252	20	18.754	17.5	16.254	15	13.752	12.5
158	"China, Taiwan Province of China"	-94.998	6.001	265.004	470.003	-24.998	-210.001	-60.997	70.002	-138	-277.998	205.003	250.003	170.002	150	120.002	100	100	100	100	100	95	90.003	85	80.004	75.003	70.002	64.999	60.001	55.003	50.004
408	"Dem. People's Republic of Korea"	-568.413	0	0	0	0	0	0	0	0	-13.932	-17.19	-24.681	-27.013	-10.156	-10.156	-10.156	-10.156	-10.156	-10.156	-10.156	-9.651	-9.141	-8.634	-8.126	-7.618	-7.11	-6.601	-6.093	-5.587	-5.078
392	"Japan"	0	-99.999	-151.351	819.22	727.596	205.006	50.002	-298.339	46.286	-100.333	164.199	277.58	358.133	250	250	250	250	250	250	250	237.5	225	212.5	200	187.5	175	162.5	150	137.5	125.012
496	"Mongolia"	0	0	0	0	0	0	0	0	-88.432	-52.463	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-15.001	-14.25	-13.5	-12.746	-12	-11.247	-10.499	-9.748	-8.996	-8.249	-7.5
410	"Republic of Korea"	0	419.289	39.834	-48.644	-209.905	-165.144	93.035	170.623	71.504	159.339	81.291	-156.535	169.634	200	200	200	200	200	200	200	190	180	170	160	150	140	130	120	110	100.012
921	"South-Central Asia"	576.161	776.531	541.51	38.138	-1109.751	-568.434	-1346.989	-1766.221	-4648.428	-4847.533	-5088.607	-11104.953	-7258.4	-7506.33	-5811.068	-5742.383	-5742.69	-5742.692	-5742.69	-5742.696	-5455.551	-5168.42	-4881.283	-4594.146	-4307.01	-4019.879	-3732.75	-3445.62	-3158.469	-2871.355
5500	"Central Asia"	818.391	1118.069	1003.457	775.841	-56.36	-407.92	-743.125	-1237.13	-2256.4	-1954.355	-579.052	-387.892	-194.565	-269.315	-269.315	-269.315	-269.315	-269.315	-269.315	-269.315	-255.851	-242.383	-228.916	-215.446	-201.985	-188.521	-175.055	-161.587	-148.121	-134.659
398	"Kazakhstan"	565.765	979.937	691.681	173.343	-128.101	-412.067	-429.797	-656.091	-1411.744	-1324.984	44.53	-35.196	159.807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
